COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,PERSONS,DEATHS,CASES
Kuwait,8223203,3446920,3338781,10,1437502,2564,661335
Kyrgyzstan,2980022,1468553,1299738,6,211731,2991,206334
Lao People's Democratic Republic,12388167,5939256,5293537,8,1916136,757,216158
Latvia,2847648,1303023,1271589,5,541299,6039,947539
Lebanon,5789338,2730630,2406354,10,652354,10696,1217831
Lesotho,1102069,1631364,872661,3,61789,706,34490
Liberia,4061384,3634393,3437215,1,1987,294,7988
Libya,3716080,2308724,1229888,10,177468,6437,507024
Liechtenstein,71104,26681,26346,3,18310,85,20450
Lithuania,4495684,1954870,1905239,5,897820,9373,1264602
Luxembourg,1318917,469322,462706,5,367245,1139,300099
Madagascar,1999667,1698424,1629830,3,238771,1410,66687
Malawi,5619203,3748590,2949082,2,197226,2682,88057
Malaysia,72150541,28104425,27512723,8,16241175,36437,4875131
Maldives,951199,399126,385014,8,167059,308,185194
Mali,3358891,2456492,1926865,1,,742,32712
Malta,1273626,450426,444814,4,352052,807,115159
Marshall Islands,103067,43458,36633,3,18559,17,15389
Martinique,394495,150447,145255,1,92322,1047,222830
Mauritania,3252274,2006570,1424954,2,294874,995,62984
Mauritius,2609428,1039411,1002616,3,668100,1032,263780
Mexico,223158993,97179493,81849962,7,57014052,330279,7103339
Micronesia (Federated States of),170346,70204,66174,4,30537,55,21815
Monaco,58294,23460,23356,6,11478,63,14873
Mongolia,5660253,2282905,2183481,6,1054940,2131,984253
Montenegro,526813,272544,254269,5,0,2784,282116
Montserrat,4564,2104,1950,1,510,8,1403
Morocco,55299169,25007235,23504945,10,6884702,16280,1265301
Mozambique,19342637,13530206,13115491,3,1228123,2224,230370
Myanmar,64549994,34777314,27545329,2,2227351,19472,629926
Namibia,958674,593597,516624,4,159381,4080,166797
Nauru,24143,10493,8585,2,5065,1,4610
Nepal,59014127,27291282,23310071,8,8412774,12018,1000373
Netherlands,36105753,12776868,11957152,6,9417108,22748,8487703
New Caledonia,469252,191568,184013,2,93671,314,74377
New Zealand,11788772,4256428,4095703,4,2709801,3129,1797063
Nicaragua,11867540,6090477,5777063,9,,245,15145
Niger,4534315,3740079,2980972,2,,314,9417
Nigeria,80602232,54918846,42076663,1,4699837,3155,265937
Niue,4180,1650,1436,1,1094,0,84
North Macedonia,1861953,854335,837932,7,161328,9559,343800
Northern Mariana Islands (Commonwealth of the),115886,46340,45046,3,24500,40,13171
Norway,11881760,4344292,4058588,4,2991787,4187,1463743
occupied Palestinian territory,3741181,2010433,1774298,10,334586,#N/A,#N/A
Oman,7084586,3257098,3048323,11,779165,4628,398660
Pakistan,313046883,154424839,131238010,11,45222280,30623,1573319
Palau,50160,20094,18403,3,12856,7,5490
Panama,8645001,3507326,3155231,2,1736958,8506,989005
Papua New Guinea,489532,355562,295700,4,27938,668,45328
Paraguay,9407422,3965786,3516189,8,1613400,19596,717260
Peru,84691243,29898943,28261808,4,21277537,216877,4151414
Philippines,166730872,77838774,73261465,11,20016781,63669,3989556
Pitcairn Islands,138,55,37,1,23,0,4
Poland,57383999,22901670,22625720,5,12426877,118015,6333591
Portugal,25658974,9760014,8873102,8,6946902,25128,5508839
Puerto Rico,7723269,3106774,2736292,4,1703572,5229,970004
Qatar,7557802,2833550,2833549,10,1890703,683,463888
Republic of Korea,130834289,45113628,44678807,5,33600655,28952,25244255
Republic of Moldova,2241785,1101302,1071341,7,370563,11878,592535
Romania,16083871,8183574,8136562,4,1761712,67155,3282224
Russian Federation,179202586,85406305,77321901,2,,389359,21354915
