COUNTRY,TVAC,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,DEATHS,CASES,AVERAGEVAC
Latvia,2847648,1303023,1271589,5,6039,947539,569529
Lebanon,5789338,2730630,2406354,10,10696,1217831,578933
Lesotho,1102069,1631364,872661,3,706,34490,367356
Liberia,4061384,3634393,3437215,1,294,7988,4061384
Libya,3716080,2308724,1229888,10,6437,507024,371608
Liechtenstein,71104,26681,26346,3,85,20450,23701
Lithuania,4495684,1954870,1905239,5,9373,1264602,899136
Luxembourg,1318917,469322,462706,5,1139,300099,263783
Madagascar,1999667,1698424,1629830,3,1410,66687,666555
Malawi,5619203,3748590,2949082,2,2682,88057,2809601
Malaysia,72150541,28104425,27512723,8,36437,4875131,9018817
Maldives,951199,399126,385014,8,308,185194,118899
Mali,3358891,2456492,1926865,1,742,32712,3358891
Malta,1273626,450426,444814,4,807,115159,318406
Marshall Islands,103067,43458,36633,3,17,15389,34355
Martinique,394495,150447,145255,1,1047,222830,394495
Mauritania,3252274,2006570,1424954,2,995,62984,1626137
Mauritius,2609428,1039411,1002616,3,1032,263780,869809
Mexico,223158993,97179493,81849962,7,330279,7103339,31879856
Micronesia (Federated States of),170346,70204,66174,4,55,21815,42586
Monaco,58294,23460,23356,6,63,14873,9715
Mongolia,5660253,2282905,2183481,6,2131,984253,943375
Montenegro,526813,272544,254269,5,2784,282116,105362
Montserrat,4564,2104,1950,1,8,1403,4564
Morocco,55299169,25007235,23504945,10,16280,1265301,5529916
Mozambique,19342637,13530206,13115491,3,2224,230370,6447545
Myanmar,64549994,34777314,27545329,2,19472,629926,32274997
Namibia,958674,593597,516624,4,4080,166797,239668
Nauru,24143,10493,8585,2,1,4610,12071
Nepal,59014127,27291282,23310071,8,12018,1000373,7376765
Netherlands,36105753,12776868,11957152,6,22748,8487703,6017625
New Caledonia,469252,191568,184013,2,314,74377,234626
New Zealand,11788772,4256428,4095703,4,3129,1797063,2947193
Nicaragua,11867540,6090477,5777063,9,245,15145,1318615
Niger,4534315,3740079,2980972,2,314,9417,2267157
Nigeria,80602232,54918846,42076663,1,3155,265937,80602232
Niue,4180,1650,1436,1,0,84,4180
North Macedonia,1861953,854335,837932,7,9559,343800,265993
Northern Mariana Islands (Commonwealth of the),115886,46340,45046,3,40,13171,38628
Norway,11881760,4344292,4058588,4,4187,1463743,2970440
Oman,7084586,3257098,3048323,11,4628,398660,644053
Pakistan,313046883,154424839,131238010,11,30623,1573319,28458807
Palau,50160,20094,18403,3,7,5490,16720
Panama,8645001,3507326,3155231,2,8506,989005,4322500
Papua New Guinea,489532,355562,295700,4,668,45328,122383
Paraguay,9407422,3965786,3516189,8,19596,717260,1175927
Peru,84691243,29898943,28261808,4,216877,4151414,21172810
Philippines,166730872,77838774,73261465,11,63669,3989556,15157352
Pitcairn Islands,138,55,37,1,0,4,138
Poland,57383999,22901670,22625720,5,118015,6333591,11476799
Portugal,25658974,9760014,8873102,8,25128,5508839,3207371
Puerto Rico,7723269,3106774,2736292,4,5229,970004,1930817
Qatar,7557802,2833550,2833549,10,683,463888,755780
Republic of Korea,130834289,45113628,44678807,5,28952,25244255,26166857
Republic of Moldova,2241785,1101302,1071341,7,11878,592535,320255
Romania,16083871,8183574,8136562,4,67155,3282224,4020967
Russian Federation,179202586,85406305,77321901,2,389359,21354915,89601293
Rwanda,26106436,9177634,8954048,7,1467,132533,3729490
Saba,4471,1687,1657,,2,732,
Saint Helena,7892,4361,3531,1,0,2013,7892
Saint Kitts and Nevis,64225,33794,26944,3,46,6548,21408
Saint Lucia,133286,65297,60129,5,405,29550,26657
Saint Vincent and the Grenadines,72875,37285,31406,5,116,9452,14575
Samoa,440413,191071,177489,2,29,15946,220206
San Marino,69338,26357,23633,2,119,21452,34669
Sao Tome and Principe,227603,127399,103440,2,77,6263,113801
Saudi Arabia,67839503,26892699,25290533,10,9387,819570,6783950
Senegal,2469499,1563871,1150222,3,1968,88630,823166
Serbia,6717622,3396340,3321282,5,17169,2393928,1343524
Seychelles,215396,85492,81295,4,170,47141,53849
Sierra Leone,4334743,3179330,2467557,2,125,7752,2167371
Singapore,14695435,5161367,5120432,4,1659,2046123,3673858
Sint Eustatius,4257,1791,1686,,5,1196,
Sint Maarten,65324,29788,26515,3,87,10908,21774
Slovakia,7176980,2838635,2790217,6,20543,1850928,1196163
Slovenia,2999524,1233013,1202504,5,8389,1223928,599904
Solomon Islands,540361,315969,212173,4,153,21544,135090
Somalia,7198588,6203372,5002737,11,1361,27225,654417
South Africa,37679458,23759835,20830902,2,102246,4024553,18839729
South Sudan,2169761,2119471,2077492,2,138,17780,1084880
Spain,103064170,41287568,37488975,4,114641,13462593,25766042
Sri Lanka,40008219,17132251,14693728,6,16773,670966,6668036
Sudan,8179010,6651268,4536964,11,4965,63424,743546
Suriname,554588,267820,237879,5,1386,81158,110917
Sweden,22750237,7504601,7366812,5,20562,2608289,4550047
Switzerland,15844749,6092913,5718238,4,13613,4181261,3961187
Syrian Arab Republic,4777586,3050850,2105113,11,3163,57340,434326
Tajikistan,15441380,5282863,5120562,6,125,17786,2573563
Thailand,142635014,57005497,53486086,8,32882,4687281,17829376
The United Kingdom,151248820,53806963,50745901,3,192682,23855526,50416273
Timor-Leste,1842717,857381,755292,4,138,23297,460679
Togo,3295699,2169182,1440469,1,287,39256,3295699
Tokelau,4924,1494,1494,1,0,0,4924
Tonga,201685,87080,76604,2,12,16182,100842
Trinidad and Tobago,1581598,753588,717347,5,4241,184524,316319
Tunisia,13149434,7208922,6383981,10,29257,1146044,1314943
Turkmenistan,13514000,3728000,3689000,7,0,0,1930571
Turks and Caicos Islands,72837,32338,30288,1,36,6380,72837
Tuvalu,25591,9603,9322,1,0,23,25591
Uganda,25783131,18867075,12765601,5,3630,169274,5156626
Ukraine,31668577,15774300,15153577,6,109819,5279346,5278096
